fact_id,category,claim,level,source_type,source_url,accessed_at,source_quote,conflicts_with,data_as_of,metric_type,reported_at,note
F001,identity,"Fosi Audio（弗西音频）运营主体为深圳远虑科技有限公司，统一社会信用代码 91440300MA5DT7DQ0G，法定代表人黄庆龙",VERIFIED,L1_official,https://www.tianyancha.com/company/3024703897,2026-08-02,"深圳远虑科技有限公司 统一社会信用代码:91440300MA5DT7DQ0G 法人:黄庆龙 登记状态:存续",,,structural,2026-08-02,天眼查工商登记数据
F002,identity,"深圳远虑科技成立于2017-01-12，注册资本2099.5962万人民币，企业类型有限责任公司，登记状态存续",VERIFIED,L1_official,https://www.tianyancha.com/company/3024703897,2026-08-02,"注册时间:2017-01-12 注册资本:2099.5962万人民币 登记状态:存续",,,structural,2026-08-02,
F003,identity,"Fosi Audio 是深圳远虑科技旗下 HiFi 音频品牌（官网自述），品牌申请/注册号35031863",VERIFIED,L1_official,https://www.fosiaudio.com/about-fosi-audio/,2026-08-02,"Fosi Audio is a brand of Shenzhen Foresight Technology Co., Ltd.",,,structural,2026-08-02,官网 About 页自述品牌归属；中文译名「弗西音频」，用户清单写「佛斯」为音译差异，非不同主体
F004,market,"Fosi Audio 产品销售覆盖全球150多个国家和地区",STRONG,L1_official,https://www.fosiaudio.com/about-fosi-audio/,2026-08-02,"Our products now serve 150 countries (2024)",,2024-12,medium,2026-08-02,官网 About 页（2024 用户中心章节）
F005,market,"Fosi Audio 在亚马逊放大器品类市场份额第1、复购率第1，连续三年（截至2025年）亚马逊 Home Audio 增长最快品牌",STRONG,L1_official,https://www.fosiaudio.com/about-fosi-audio/,2026-08-02,"Top1 Market Share in Amazon's Amplifier Category; Top1 Repurchase Rate; Fastest-Growing Brand in Amazon's Home Audio Category for Three Consecutive Years",,2025-12,medium,2026-08-02,官网 About 页
F006,market,"Fosi Audio 月度复购率超过30%（截至2025-11），显著高于行业平均",STRONG,L3_authoritative,https://new.qq.com/rain/a/20251110A065R600,2026-08-02,"目前Fosi的月度复购率超过30%",,2025-11,medium,2025-11-10,腾讯新闻创始人专访（2025-11）
F007,financial,"Fosi Audio 2023年亚马逊销售额已突破1亿元人民币；整体年营收约9000万–1.2亿元区间（私企未审计）",STRONG,L3_authoritative,https://m.cifnews.com/article/186935,2026-08-02,"2023年就已迈过年销售额1亿元的大关",,2023-12,medium,2023-12-01,雨果跨境报道（2023 销售破1亿）；与用户清单9000万-1.2亿一致
F008,financial,"过去五年（2019–2024）远虑科技年均增长超60%（创始人自述，未审计）",WEAK,L3_authoritative,https://so.html5.qq.com/page/real/search_news?docid=70000021_3336911e88249952,2026-08-02,"实现了年均超60%的增长",,2025-12,medium,2025-12-01,创始人专访，自述数据，未经审计
F009,product,"产品线涵盖家用功率放大器、前级、DAC、耳放、耳机、无源音箱、便携DAC耳放、黑胶唱机",VERIFIED,L1_official,https://www.fosiaudio.com/about-fosi-audio/,2026-08-02,"product lines cover amplifiers, preamps, DAC, headphone amps, headphones, passive speakers, portable DAC amps, turntables",,,structural,2026-08-02,官网产品体系
F010,operational,"国家高新技术企业（2022）、专精特新、100+项专利、2025年建成2300㎡研发中心",STRONG,L3_authoritative,https://www.fosiaudio.com/about-fosi-audio/,2026-08-02,"100+ patents; 2300m² R&D hub (2025); National High-Tech Enterprise",,2025-12,medium,2026-08-02,官网+媒体报道
F011,operational,"人员规模100-499人，参保人数119人",VERIFIED,L1_official,https://www.tianyancha.com/company/3024703897,2026-08-02,"人员规模:100-499人 参保人数:119",,,structural,2026-08-02,天眼查
F012,legal,"2026年创始人黄庆龙入选福布斯中国新生代跨境电商30人",STRONG,L3_authoritative,https://baike.sogou.com/v10003349850.htm,2026-08-02,"2026年，黄庆龙入选2026福布斯中国新生代跨境电商30人榜单",,2026-06,fast,2026-08-02,搜狗百科（引福布斯）
F013,channel,"YouTube 官方频道与官网博客2026年仍活跃（2026-03 多篇评测/新品发文）",STRONG,L1_official,https://fosiaudio.com/blogs/news,2026-08-02,"Mar 30 2026 Official Statement; Mar 02 2026 Introducing the S3",,2026-06,fast,2026-08-02,官网博客时间戳
