entity_group,channel,platform,account_or_store,url,attribution_evidence,evidence_fact_ids,channel_strength,role,market,category,first_seen,note
目标主体,主店,amazon,,,A_platform_disclosure,,主力,主力店,US,,,
目标主体,矩阵店,amazon,,,B_tracking_id|B_return_address,,在营,测品店,US,,,
目标主体,eBay 店,ebay,,,A_platform_disclosure,,在营,清库存,US,,,
目标主体,东南亚店,shopee,,,A_platform_disclosure,,试水,新市场试水,SG,,,
目标主体,东南亚店,lazada,,,C_similar_name,,试水,,MY,,,
目标主体,品牌独立站,independent_site,,,A_site_legal_page,,核心,品牌承接,Global,,,
目标主体,Meta 投放,meta_ads,,,A_ad_library_entity,,主力,拉新,US,,,
目标主体,Google 投放,google_ads,,,A_ad_library_entity,,在营,搜索拦截,US,,,
目标主体,TikTok 账号,social,,,B_support_email,,主力,内容种草,US,,,
目标主体,Instagram,social,,,C_similar_name,,试水,,US,,,
竞品A,主店,amazon,,,A_platform_disclosure,,主力,,US,,,
竞品A,品牌独立站,independent_site,,,A_site_legal_page,,主力,,Global,,,
竞品B,主店,shopee,,,A_platform_disclosure,,核心,,ID,,,
竞品B,TikTok Shop,tiktok_shop,,,B_sku_scheme|B_exclusive_image,,主力,,ID,,,
