capability,competitor_score,our_score,gap,priority,evidence_fact_ids,competitor_observation,our_current_state,improvement_target,kpi,owner,timeframe,notes
Product Portfolio,,,,,,"Hero SKU, price ladder, variants, certification, differentiation",,,,,
Marketplace Operations,,,,,,"Marketplace presence, rating, reviews, listing quality, promotions",,,,,
DTC Website,,,,,,"Brand site quality, trust signals, conversion path, SEO, email capture",,,,,
Content and Creatives,,,,,,"Images, short videos, UGC, influencer assets, livestream materials",,,,,
Paid Growth,,,,,,"Meta/TikTok/Google ad activity, landing pages, offer design",,,,,
Social and Community,,,,,,"Posting cadence, engagement, creator matrix, community loop",,,,,
Pricing and Promotion,,,,,,"Price band, bundle, discount rhythm, coupon strategy",,,,,
Supply Chain and Fulfillment,,,,,,"Shipping promise, warehouse footprint, returns, compliance, after-sales",,,,,
Brand Trust,,,,,,"Certifications, warranty, review sentiment, media mentions, policy clarity",,,,,
Data and Management,,,,,,"KPI discipline, experiment cadence, customer feedback loop",,,,,
